area_type,availability,location,total_sqft,bath,price,bedrooms
Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,45.0,2
Built-up  Area,Ready To Move,Koramangala,1975.0,3.0,210.0,3
Super built-up  Area,Ready To Move,Garudachar Palya,1295.0,2.0,59.5,3
Super built-up  Area,Ready To Move,Battarahalli,1777.0,3.0,100.0,3
Super built-up  Area,18-Apr,Kadugodi,1900.0,3.0,108.0,3
Super built-up  Area,17-Jul,Anandapura,1576.0,3.0,59.1,3
Super built-up  Area,Ready To Move,Sompura,1020.0,2.0,41.0,2
Super built-up  Area,Ready To Move,Green Domain Layout,2100.0,3.0,170.0,3
Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,648.0,1.0,31.75,1
Super built-up  Area,Ready To Move,Neeladri Nagar,1167.0,2.0,38.0,3
Plot  Area,Ready To Move,Vyalikaval,1000.0,7.0,160.0,7
Super built-up  Area,Ready To Move,Hoodi,1220.0,2.0,50.89,2
Super built-up  Area,Ready To Move,Kogilu,2350.0,5.0,327.0,3
Super built-up  Area,Ready To Move,Vittasandra,1259.0,2.0,67.4,2
Built-up  Area,Ready To Move,Gottigere,2000.0,4.0,82.0,4
Super built-up  Area,Ready To Move,8th Phase JP Nagar,1800.0,3.0,80.0,3
Built-up  Area,Ready To Move,Cleveland Town,1991.0,3.0,160.0,3
Super built-up  Area,Ready To Move,Bannerghatta,1665.0,3.0,110.0,3
Built-up  Area,20-Dec,"Hoodi Circle, ",1234.0,2.0,61.0,2
Super built-up  Area,Ready To Move,Mysore Road,1340.0,2.0,64.31,3
Super built-up  Area,Ready To Move,Banashankari,1170.0,2.0,46.79,2
Built-up  Area,Ready To Move,Electronics City Phase 1,995.0,2.0,46.0,2
Super built-up  Area,Ready To Move,Old Airport Road,1075.0,2.0,60.0,2
Super built-up  Area,18-Apr,Electronic City,1025.0,2.0,54.5,2
Super built-up  Area,Ready To Move,Rachenahalli,2721.0,3.0,113.0,3
Super built-up  Area,Ready To Move,Thanisandra,2000.0,3.0,99.0,3
Super built-up  Area,Ready To Move,Whitefield,2500.0,4.0,155.0,4
Super built-up  Area,Ready To Move,Mallasandra,1325.0,2.0,70.0,2
Super built-up  Area,18-Apr,Kadugodi,1314.0,2.0,68.2,2
Super built-up  Area,21-Feb,Kanakpura Road,2265.0,3.0,136.0,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,4800.0,7.0,170.0,7
Super built-up  Area,21-Dec,Yelahanka,1026.0,2.0,41.0,2
Built-up  Area,Ready To Move,Syndicate Bank Colony,1200.0,3.0,66.0,3
Built-up  Area,Ready To Move,Kada Agrahara,2220.0,4.0,65.0,3
Super built-up  Area,18-Sep,KR Puram,1192.5,2.0,51.22,2
Super built-up  Area,18-Dec,Hebbal,1420.0,2.0,99.39,2
Super built-up  Area,Ready To Move,Sarjapur  Road,1888.0,4.0,95.0,3
Super built-up  Area,18-May,JP Nagar,1300.0,2.0,90.87,2
Super built-up  Area,18-May,Rajaji Nagar,1216.0,2.0,97.16,2
Plot  Area,19-Dec,"Off Sarjapur road, ",3000.0,4.0,342.0,4
Built-up  Area,Ready To Move,Begur,1559.0,3.0,63.0,3
Super built-up  Area,Ready To Move,Harlur,1290.0,2.0,87.0,2
Plot  Area,Ready To Move,M C Layout,2400.0,6.0,245.0,6
Built-up  Area,18-Jun,Whitefield,905.0,1.0,55.0,1
Built-up  Area,Ready To Move,Nanjappa Layout,1069.0,2.0,55.0,2
Super built-up  Area,19-Aug,Sarjapura - Attibele Road,829.0,2.0,22.8,2
Built-up  Area,Ready To Move,Koramangala,1900.0,2.0,200.0,2
Built-up  Area,Ready To Move,Sarjapur  Road,1300.0,3.0,60.0,3
Super built-up  Area,Ready To Move,Channasandra,1115.0,2.0,33.45,2
Super built-up  Area,Ready To Move,Rajaji Nagar,2409.0,3.0,360.0,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,2150.0,4.0,125.0,3
Super built-up  Area,19-Mar,Marathahalli,1305.0,2.0,69.0,3
Super built-up  Area,20-Dec,Kanakpura Road,1252.0,2.0,56.32,2
Plot  Area,Ready To Move,Hosakerehalli,2400.0,5.0,250.0,5
Plot  Area,18-Sep,Whitefield,1200.0,2.0,46.13,2
Built-up  Area,Ready To Move,Koramangala,1750.0,3.0,130.0,3
Super built-up  Area,Ready To Move,Electronic City Phase II,545.0,1.0,35.0,2
Plot  Area,Ready To Move,BEL Layout,1375.0,2.0,105.0,2
Super built-up  Area,Ready To Move,Subramanyapura,1313.0,2.0,66.5,2
Plot  Area,Ready To Move,Attibele,3640.0,4.0,275.0,4
Super built-up  Area,20-Dec,Akshayanagara East,1693.0,3.0,108.0,3
Super built-up  Area,Ready To Move,JCR Layout,1160.0,2.0,41.75,2
Plot  Area,Ready To Move,Sri Kanteshwara Nagar,1200.0,3.0,200.0,3
Super built-up  Area,Ready To Move,Subramanyapura,1255.0,2.0,79.0,3
Plot  Area,Ready To Move,KR Puram,1000.0,4.0,75.0,4
Built-up  Area,Ready To Move,Bellari Road,900.0,2.0,45.0,2
Super built-up  Area,Ready To Move,Yelahanka New Town,1700.0,3.0,90.0,3
Carpet  Area,Ready To Move,Indira Nagar,1875.0,3.0,180.0,3
Carpet  Area,Ready To Move,Uttarahalli,1700.0,3.0,88.0,3
Super built-up  Area,Ready To Move,Harlur,1749.0,3.0,115.0,3
Plot  Area,Ready To Move,Dasanapura,1500.0,3.0,65.0,2
Super built-up  Area,Ready To Move,Varanasi,1175.0,2.0,48.0,2
Built-up  Area,Ready To Move,Akshaya Nagar,1280.0,2.0,60.0,2
Built-up  Area,Ready To Move,Abbaiah Reddy Layout,1200.0,2.0,50.0,2
Super built-up  Area,Ready To Move,Ramagondanahalli,1610.0,2.0,115.0,3
Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,46.0,2
Plot  Area,Ready To Move,TC Palaya,1200.0,2.0,66.0,2
Super built-up  Area,19-Dec,9th Phase JP Nagar,1127.0,2.0,50.0,2
Built-up  Area,Ready To Move,Indira Nagar,1210.0,2.0,102.0,2
Built-up  Area,Ready To Move,Jyothi Nagar,600.0,2.0,23.0,2
Super built-up  Area,Ready To Move,Thigalarapalya,4190.0,4.0,380.0,4
Super built-up  Area,Ready To Move,Tata Nagar,1364.0,2.0,70.0,2
Super built-up  Area,Ready To Move,Whitefield,2268.0,3.0,146.0,4
Super built-up  Area,Ready To Move,RK Layout 2nd Stage,1150.0,2.0,77.5,3
Super built-up  Area,Ready To Move,Tirumanahalli,1146.0,2.0,39.5,2
Built-up  Area,Ready To Move,Magadi Road,1345.0,2.0,55.0,2
Super built-up  Area,Ready To Move,Mylasandra,1110.0,2.0,41.0,2
Built-up  Area,Ready To Move,Kengeri,750.0,2.0,36.0,2
Built-up  Area,Ready To Move,Motappa Layout,1156.0,2.0,49.5,2
Super built-up  Area,Ready To Move,Pattandur Agrahara,1247.0,2.0,59.8,2
Super built-up  Area,Ready To Move,Mangammanapalya,1058.0,2.0,60.0,2
Super built-up  Area,Ready To Move,Kaggalipura,950.0,2.0,48.0,2
Super built-up  Area,Ready To Move,Vasanthapura,420.0,2.0,35.0,2
Plot  Area,Ready To Move,BTM 1st Stage,600.0,2.0,90.0,4
Super built-up  Area,21-Jun,Vijayanagar,1520.0,2.0,103.0,3
Super built-up  Area,Ready To Move,Marathahalli,1215.0,2.0,58.86,2
Built-up  Area,Ready To Move,Raghuvanahalli,900.0,1.0,30.0,1
Super built-up  Area,Ready To Move,Hennur Road,2350.0,3.0,174.0,3
Super built-up  Area,Ready To Move,Thanisandra,1050.0,2.0,46.0,2
Super built-up  Area,Ready To Move, Devarabeesana Halli,1672.0,3.0,150.0,3
Plot  Area,Ready To Move,Laggere,2800.0,5.0,125.0,5
Super built-up  Area,Ready To Move,MCECHS  layout,1500.0,2.0,65.0,3
Super built-up  Area,Ready To Move,Geddalahalli,1400.0,2.0,65.0,2
Built-up  Area,Ready To Move,8th Phase JP Nagar,2700.0,4.0,130.0,4
Super built-up  Area,18-May,Bommasandra,920.0,2.0,37.46,2
Plot  Area,18-Feb,Sarjapur  Road,1200.0,3.0,70.0,3
Built-up  Area,Ready To Move,Brindavan Nagar,1250.0,3.0,139.0,3
Super built-up  Area,18-Mar,Hosakerehalli,1817.0,4.0,153.0,3
Plot  Area,Ready To Move,Cooke Town,2043.0,6.0,375.0,5
Super built-up  Area,Ready To Move,HSR Layout,1140.0,2.0,46.0,2
Built-up  Area,Ready To Move,Yelahanka,4346.0,4.0,450.0,4
Super built-up  Area,Ready To Move,Haralur Road,1464.0,2.0,56.0,2
Super built-up  Area,Ready To Move,Ambedkar Colony,1468.0,3.0,130.0,2
Super built-up  Area,Ready To Move,Electronics City Phase 1,1555.0,2.0,82.0,3
Plot  Area,Ready To Move,Munnekollal,1200.0,4.0,110.0,6
Built-up  Area,Ready To Move,Whitefield,1150.0,2.0,55.0,2
Super built-up  Area,19-Oct,Kadubeesanahalli,970.0,2.0,35.0,2
Super built-up  Area,18-May,Banashankari,2500.0,4.0,95.0,4
Super built-up  Area,Ready To Move,Seetharampalya,1166.0,2.0,53.0,2
Plot  Area,Ready To Move,Konanakunte,2779.0,3.0,317.0,3
Super built-up  Area,Ready To Move,Electronic City,1350.0,3.0,58.0,3
Built-up  Area,Ready To Move,Mariyannapalya,900.0,2.0,46.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1300.0,2.0,52.0,3
Built-up  Area,Ready To Move,Kanaka Nagar,1190.0,3.0,55.0,3
Super built-up  Area,Ready To Move,Kodichikkanahalli,1495.0,2.0,75.0,3
Built-up  Area,Ready To Move,Indira Nagar,1224.0,2.0,105.0,2
Super built-up  Area,Ready To Move,Banashankari Stage III,1350.0,2.0,68.0,3
Built-up  Area,Ready To Move,Green Glen Layout,940.0,2.0,56.8,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1100.0,2.0,55.0,2
Super built-up  Area,Ready To Move,Kaikondrahalli,1300.0,2.0,61.0,2
Built-up  Area,Ready To Move,Palace Road,1480.0,2.0,145.0,3
Super built-up  Area,Ready To Move,Hoodi,1105.0,2.0,46.37,2
Plot  Area,17-Jun,Sarjapur  Road,2600.0,3.0,200.0,3
Super built-up  Area,21-Mar,Yelahanka,1517.0,3.0,76.3,3
Built-up  Area,Ready To Move,Horamavu Banaswadi,3800.0,8.0,200.0,6
Super built-up  Area,Ready To Move,Jalahalli,1615.0,3.0,89.75,3
Super built-up  Area,Ready To Move,MCECHS  layout,1500.0,3.0,65.0,3
Super built-up  Area,Ready To Move,Mysore Road,1082.0,3.0,50.5,3
Super built-up  Area,Ready To Move,Marathahalli,1365.0,2.0,73.0,2
Super built-up  Area,Ready To Move,Electronic City,1000.0,2.0,25.0,2
Super built-up  Area,Ready To Move,CV Raman Nagar,1392.0,2.0,98.0,2
Super built-up  Area,18-Apr,Kodigehalli,1086.0,2.0,33.66,2
Super built-up  Area,Ready To Move,Hennur Road,1586.0,3.0,93.94,3
Built-up  Area,Ready To Move,Hennur,1100.0,2.0,60.0,2
Super built-up  Area,18-May,Electronic City Phase II,1065.0,2.0,30.75,2
Plot  Area,Ready To Move,TC Palaya,1500.0,2.0,120.0,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,1575.0,2.0,120.0,3
Super built-up  Area,Ready To Move,Hennur Road,1975.0,3.0,123.0,3
Super built-up  Area,Ready To Move,Nelamangala,820.0,2.0,24.0,2
Super built-up  Area,Ready To Move,Gubbalala,1745.0,3.0,110.0,3
Super built-up  Area,Ready To Move,Nagarbhavi,1223.0,2.0,60.0,2
Super built-up  Area,Ready To Move,Ananth Nagar,1200.0,2.0,65.0,3
Super built-up  Area,Ready To Move,Basaveshwara Nagar,1200.0,2.0,90.0,2
Super built-up  Area,19-Dec,Binny Pete,665.0,1.0,46.08,1
Super built-up  Area,Ready To Move,Bharathi Nagar,1351.0,2.0,70.0,2
Super built-up  Area,18-Dec,Hebbal,1355.0,3.0,83.87,3
Built-up  Area,Ready To Move,Sector 7 HSR Layout,3900.0,3.0,300.0,3
Super built-up  Area,18-Nov,Thanisandra,1588.0,3.0,75.55,3
Carpet  Area,Ready To Move,Amruthahalli,900.0,2.0,60.0,2
Plot  Area,Ready To Move,Bhuvaneshwari Nagar,440.0,3.0,50.0,3
Built-up  Area,18-Feb,Harlur,3385.0,4.0,260.0,4
Super built-up  Area,Ready To Move,Panathur,1370.0,2.0,75.0,3
Plot  Area,18-Dec,Whitefield,1500.0,3.0,71.8,3
Super built-up  Area,Ready To Move,Pulikeshi Nagar,2280.0,3.0,285.0,3
Super built-up  Area,21-Dec,Kanakpura Road,1100.0,3.0,53.0,3
Built-up  Area,Ready To Move,Hoodi,1247.0,2.0,53.0,2
Super built-up  Area,19-Dec,Domlur Layout,2000.0,3.0,200.0,3
Super built-up  Area,18-Jul,Balagere,1020.07,2.0,68.38,2
Super built-up  Area,19-Dec,Gunjur Palya,1033.0,2.0,32.0,3
Built-up  Area,Ready To Move,B Narayanapura,1460.0,2.0,73.0,3
Super built-up  Area,Ready To Move,Garudachar Palya,1150.0,2.0,52.8,2
Super built-up  Area,Ready To Move,Sarjapur  Road,5965.0,5.0,385.0,5
Super built-up  Area,Ready To Move,Babusapalaya,1141.0,2.0,46.0,2
Super built-up  Area,Ready To Move,Yelahanka,2912.5,6.0,125.5,4
Plot  Area,Ready To Move,Doddaballapur,4200.0,4.0,325.0,4
Super built-up  Area,18-Jul,Hosa Road,1665.0,2.0,125.0,3
Super built-up  Area,18-Dec,Kanakapura,1295.0,2.0,64.0,2
Super built-up  Area,18-Aug,Haralur Road,1230.0,2.0,78.0,2
Super built-up  Area,Ready To Move,Anand Nagar,1080.0,2.0,75.0,3
Super built-up  Area,Ready To Move,Kaggalipura,1000.0,2.0,60.0,2
Super built-up  Area,Ready To Move,Kaval Byrasandra,2400.0,2.0,50.0,3
Super built-up  Area,19-Dec,Whitefield,630.5,1.0,32.79,1
Super built-up  Area,18-May,Rayasandra,1708.0,3.0,75.0,3
Super built-up  Area,Ready To Move,Thanisandra,1697.0,3.0,115.0,3
Super built-up  Area,Ready To Move,Whitefield,3537.0,5.0,210.0,4
Super built-up  Area,19-Mar,Hosa Road,615.0,1.0,28.29,1
Built-up  Area,Ready To Move,Banashankari,1350.0,2.0,83.0,3
Super built-up  Area,19-Dec,Jalahalli,1083.0,2.0,32.49,2
Super built-up  Area,Ready To Move,Gottigere,1460.0,2.0,65.0,3
Super built-up  Area,Ready To Move,Babusapalaya,1084.0,2.0,58.0,2
Super built-up  Area,18-May,Bommasandra,1035.0,2.0,41.43,2
Super built-up  Area,Ready To Move,Vijaya Bank Layout,2400.0,2.0,150.0,3
Super built-up  Area,Ready To Move,Hosur Road,460.0,1.0,21.0,1
Super built-up  Area,Ready To Move,Narayanappa Layout,950.0,5.0,90.0,5
Super built-up  Area,Ready To Move,Whitefield,1285.0,2.0,55.9,2
Super built-up  Area,Ready To Move,1Hanuman Nagar,2000.0,16.0,490.0,19
Plot  Area,Ready To Move,Sarjapur,1200.0,3.0,78.0,3
Built-up  Area,Ready To Move,Raghuvanahalli,1070.0,2.0,35.0,2
Super built-up  Area,Ready To Move,Hegde Nagar,1801.0,3.0,140.0,3
Super built-up  Area,18-Dec,Whitefield,1697.0,3.0,115.0,3
Super built-up  Area,Ready To Move,AECS Layout,1199.0,2.0,65.0,2
Super built-up  Area,Ready To Move,Iblur Village,2300.0,3.0,220.0,3
Super built-up  Area,Ready To Move,Mysore Road,1340.0,2.0,64.31,3
Super built-up  Area,Ready To Move,Marathahalli,3800.0,4.0,205.0,4
Plot  Area,Ready To Move,Jigani,600.0,5.0,50.0,5
Super built-up  Area,Ready To Move,Wilson Garden,1125.0,2.0,75.0,2
Plot  Area,Ready To Move,Anandapura,1200.0,2.0,67.0,2
Built-up  Area,Ready To Move,Subramanyapura,1050.0,2.0,41.0,2
Built-up  Area,Ready To Move,Nagarbhavi,956.0,2.0,49.0,2
Super built-up  Area,Ready To Move,Sarjapur,1000.0,2.0,30.0,2
Built-up  Area,Ready To Move,Dooravani Nagar,1596.0,3.0,95.0,3
Plot  Area,Ready To Move,Kumbhena Agrahara,1200.0,5.0,150.0,6
Super built-up  Area,19-Jul,Kanakpura Road,1296.0,2.0,89.06,2
Plot  Area,Ready To Move,NS Palya,1200.0,7.0,170.0,6
Built-up  Area,Ready To Move,Challaghatta,1639.0,3.0,123.0,3
Super built-up  Area,Ready To Move,Electronic City Phase II,1219.0,2.0,61.25,2
Built-up  Area,Ready To Move,Uttarahalli,1200.0,3.0,50.0,3
Super built-up  Area,Ready To Move,Bannerghatta Road,1218.0,2.0,73.0,2
Super built-up  Area,Ready To Move,Nyanappana Halli,920.0,2.0,37.0,2
Super built-up  Area,Ready To Move,Yeshwanthpur,2559.0,3.0,141.0,3
Super built-up  Area,22-Dec,2nd Phase Judicial Layout,525.0,1.0,26.0,1
Super built-up  Area,18-Feb,Bannerghatta Road,1427.0,2.0,48.51,3
Super built-up  Area,18-Apr,Kothannur,1270.0,3.0,45.0,3
Built-up  Area,Ready To Move,Ramagondanahalli,920.0,2.0,65.0,2
Built-up  Area,Ready To Move,Dommasandra,2700.0,3.0,68.0,4
Super built-up  Area,Ready To Move,Indira Nagar 3rd Stage,1740.0,3.0,199.0,3
Built-up  Area,Ready To Move,Ramamurthy Nagar,1355.0,2.0,40.0,3
Super built-up  Area,Ready To Move,Lingadheeranahalli,1530.0,2.0,90.0,3
Carpet  Area,Ready To Move,Gokula Extension,1372.0,2.0,90.0,3
Super built-up  Area,Ready To Move,Nehru Nagar,2363.0,5.0,120.0,4
Super built-up  Area,Ready To Move,Marathahalli,3895.0,4.0,220.0,4
Super built-up  Area,20-Jun,Jakkur,1950.0,3.0,131.0,3
Built-up  Area,Ready To Move,Hoysalanagar,885.0,2.0,40.0,2
Built-up  Area,Ready To Move,Yelahanka,600.0,2.0,27.0,2
Plot  Area,Ready To Move,Kumaraswami Layout,1270.0,4.0,128.0,5
Plot  Area,Ready To Move,Vijayanagar,1380.0,2.0,225.0,2
Super built-up  Area,Ready To Move,Kanakpura Road,1339.0,2.0,62.0,2
Super built-up  Area,Ready To Move,Whitefield,1130.0,2.0,36.0,2
Built-up  Area,Ready To Move,Uttarahalli,1085.0,2.0,43.0,2
Built-up  Area,Ready To Move,Yeshwanthpur,1430.0,3.0,72.0,3
Carpet  Area,18-Dec,Bhoganhalli,1451.5,4.0,121.0,4
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,6200.0,5.0,720.0,5
Super built-up  Area,Ready To Move,AGS Layout,1490.0,2.0,59.6,3
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,1650.0,4.0,99.0,4
Super built-up  Area,Ready To Move,Bellandur,1286.0,2.0,57.0,2
Built-up  Area,Ready To Move,KR Garden,925.0,2.0,63.0,2
Super built-up  Area,Ready To Move,Bellandur,3016.0,4.0,230.0,4
Built-up  Area,Ready To Move,Haralur Road,1000.0,2.0,44.0,2
Super built-up  Area,Ready To Move,Whitefield,1215.0,2.0,39.0,2
Plot  Area,Ready To Move,Kanakadasa Layout,1200.0,3.0,95.0,4
Super built-up  Area,Ready To Move,Lakshminarayana Pura,1336.0,2.0,100.0,2
Super built-up  Area,Ready To Move,Yeshwanthpur,673.0,1.0,36.85,1
Plot  Area,Ready To Move,Anandapura,1200.0,2.0,58.0,2
Plot  Area,Ready To Move,Lingarajapuram,600.0,7.0,63.0,6
Super built-up  Area,Ready To Move,Malleshwaram,1600.0,3.0,160.0,3
Plot  Area,Ready To Move,Mallathahalli,1200.0,2.0,79.0,2
Plot  Area,Ready To Move,Indira Nagar,2480.0,4.0,750.0,6
Super built-up  Area,18-Apr,Jayamahal Extension,2500.0,3.0,270.0,3
Plot  Area,Ready To Move,Devanahalli,2400.0,5.0,100.0,5
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,1143.0,2.0,65.0,2
Super built-up  Area,Ready To Move,Kanakpura Road,1470.0,2.0,61.74,2
Plot  Area,Ready To Move,Laxminarayana Layout,1584.0,3.0,145.0,4
Super built-up  Area,Ready To Move,Marathahalli,1785.0,3.0,94.0,3
Super built-up  Area,Ready To Move,Koramangala,2292.0,3.0,286.0,3
Super built-up  Area,Ready To Move,Kothanur,1460.0,3.0,71.0,3
Super built-up  Area,Ready To Move,Kasturi Nagar,1500.0,2.0,80.0,3
Plot  Area,Ready To Move,Yelahanka,1200.0,4.0,140.0,5
Built-up  Area,Ready To Move,Sanjay nagar,3300.0,3.0,250.0,5
Super built-up  Area,Ready To Move,Chikkalasandra,1230.0,2.0,48.0,2
Super built-up  Area,Ready To Move,Yelahanka New Town,650.0,1.0,20.0,1
Super built-up  Area,Ready To Move,Benson Town,1480.0,2.0,120.0,2
Super built-up  Area,Ready To Move,Thanisandra,1220.0,2.0,43.92,2
Super built-up  Area,Ready To Move,Dooravani Nagar,1570.0,3.0,115.0,3
Built-up  Area,Ready To Move,Sadashiva Nagar,3000.0,3.0,400.0,3
Super built-up  Area,Ready To Move,Mallasandra,1665.0,3.0,86.91,3
Plot  Area,Ready To Move,Banagiri Nagar,1350.0,3.0,380.0,3
Plot  Area,Ready To Move,Sarjapur  Road,4000.0,5.0,600.0,4
Plot  Area,Ready To Move,Ramamurthy Nagar,1100.0,2.0,68.0,2
Super built-up  Area,Ready To Move,Kathriguppe,1350.0,2.0,87.01,3
Built-up  Area,Ready To Move,Kasavanhalli,1719.0,3.0,116.0,3
Super built-up  Area,Ready To Move,Budigere,664.0,1.0,35.0,1
Super built-up  Area,18-Dec,Sonnenahalli,1011.0,2.0,50.53,2
Built-up  Area,Ready To Move,Akshya Nagar,2400.0,6.0,130.0,6
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,1680.0,3.0,85.0,3
Super built-up  Area,Ready To Move,Yeshwanthpur,717.0,2.0,49.475,2
Plot  Area,Ready To Move,Thyagaraja Nagar,700.0,4.0,110.0,4
Super built-up  Area,Ready To Move,Whitefield,1520.0,2.0,150.0,3
Carpet  Area,Ready To Move,Uttarahalli,1350.0,2.0,53.0,3
Super built-up  Area,15-Nov,Kothanur,1760.0,3.0,150.0,3
Super built-up  Area,Ready To Move,Pattandur Agrahara,875.0,2.0,33.0,2
Super built-up  Area,Ready To Move,Hennur,1231.0,2.0,48.0,2
Super built-up  Area,Ready To Move,Somasundara Palya,1174.0,2.0,74.0,2
Built-up  Area,Ready To Move,Munnekollal,1560.0,3.0,75.0,3
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,1464.0,2.0,56.0,2
Plot  Area,Ready To Move,Kanakpura Road,2200.0,3.0,130.0,3
Built-up  Area,Ready To Move,Shivaji Nagar,850.0,2.0,55.0,2
Built-up  Area,Ready To Move,Sahyadri Layout,1750.0,3.0,180.0,3
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2024.0,3.0,157.0,3
Plot  Area,Ready To Move,Mathikere SBM colony,1500.0,1.0,160.0,2
Plot  Area,Ready To Move,"white field,kadugodi",2100.0,6.0,275.0,6
Super built-up  Area,Ready To Move,Kodihalli,2408.0,4.0,260.0,3
Super built-up  Area,Ready To Move,Devanahalli,1080.0,2.0,44.0,2
Super built-up  Area,Ready To Move,Indira Nagar,2070.0,3.0,225.0,3
Built-up  Area,18-Dec,Electronic City,1020.0,2.0,29.46,2
Super built-up  Area,Ready To Move,Begur Road,1500.0,2.0,55.0,3
Plot  Area,Ready To Move,Mahalakshmi Layout,1575.0,5.0,158.0,4
Plot  Area,Ready To Move,Kodichikkanahalli,3250.0,4.0,180.0,4
Super built-up  Area,Ready To Move,Uttarahalli,1175.0,2.0,47.0,2
Super built-up  Area,Ready To Move,Channasandra,1030.0,2.0,34.5,2
Super built-up  Area,18-Jul,Hebbal,1440.0,2.0,115.0,2
Built-up  Area,Ready To Move,Hoodi,1500.0,2.0,84.0,2
Plot  Area,Ready To Move,Thanisandra,1380.0,1.0,62.1,1
Built-up  Area,Ready To Move,Bagalur,1200.0,2.0,50.0,2
Built-up  Area,Ready To Move,Vinayak Nagar,705.0,1.0,36.5,1
Super built-up  Area,Ready To Move,Harlur,2240.0,5.0,155.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,1584.01,3.0,103.0,3
Super built-up  Area,Ready To Move,P Krishnappa Layout,1340.0,3.0,77.0,3
Super built-up  Area,Ready To Move,Green Garden Layout,1800.0,3.0,70.0,3
Super built-up  Area,Ready To Move,R.T. Nagar,1200.0,2.0,45.0,2
Super built-up  Area,18-Nov,Sarjapur  Road,685.0,1.0,40.0,1
Super built-up  Area,Ready To Move,Kalkere,925.0,2.0,42.0,2
Super built-up  Area,Ready To Move,Crimson Layout,1230.0,2.0,57.0,2
Plot  Area,Ready To Move,Manjunath Nagar,1200.0,5.0,185.0,5
Super built-up  Area,Ready To Move,Kodichikkanahalli,1125.0,2.0,52.0,2
Super built-up  Area,Ready To Move,Hebbal,1100.0,2.0,54.0,2
Plot  Area,18-Aug,Jigani,2400.0,3.0,149.0,3
Super built-up  Area,18-Jul,Electronic City Phase II,1400.0,2.0,41.58,3
Plot  Area,Ready To Move,Uttarahalli,1200.0,7.0,225.0,7
Super built-up  Area,Ready To Move,Jakkur,1858.0,3.0,98.3,3
Plot  Area,Ready To Move,Adityanagar,1260.0,1.0,41.0,1
Built-up  Area,Ready To Move,Ambedkar Nagar,3530.0,4.0,290.0,4
Super built-up  Area,Ready To Move,HSR Layout,1185.0,2.0,60.0,2
Plot  Area,Ready To Move,RMV 2nd Stage,1200.0,2.0,216.0,2
Super built-up  Area,Ready To Move,Hennur,1255.0,2.0,58.0,2
Super built-up  Area,Ready To Move,Rajaji Nagar,3436.0,6.0,475.0,4
Built-up  Area,Ready To Move,Kudlu Gate,1335.0,3.0,89.0,3
Super built-up  Area,Ready To Move,Dodda Nekkundi,1999.0,3.0,132.0,3
Plot  Area,Ready To Move,Kanaka Nagar,1200.0,2.0,125.0,2
Super built-up  Area,Ready To Move,Kundalahalli,1397.0,3.0,110.0,3
Plot  Area,Ready To Move,Jigani,1200.0,10.0,105.0,10
Super built-up  Area,Ready To Move,Cooke Town,3950.0,4.0,450.0,4
Plot  Area,Ready To Move,Yelahanka New Town,1200.0,2.0,130.0,2
Plot  Area,Ready To Move,Chikka Tirupathi,1616.0,3.0,95.0,3
Plot  Area,Ready To Move,Banashankari Stage III,1200.0,7.0,350.0,8
Built-up  Area,Ready To Move,Hanumantha Nagar,1270.0,2.0,175.0,4
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1140.0,2.0,38.55,2
Super built-up  Area,21-Jan,Kanakpura Road,525.0,1.0,30.0,1
Plot  Area,Ready To Move,Varthur,1200.0,2.0,98.0,3
Built-up  Area,Ready To Move,Bagalakunte,700.0,1.0,162.0,1
Super built-up  Area,18-Jul,Balagere,1205.47,2.0,81.0,2
Plot  Area,Ready To Move,T Dasarahalli,1200.0,3.0,130.0,3
Super built-up  Area,Ready To Move,Electronic City,1700.0,3.0,75.0,3
Plot  Area,Ready To Move,Thanisandra,750.0,4.0,62.0,5
Super built-up  Area,21-May,Kanakpura Road,1090.0,2.0,54.54,2
Super built-up  Area,Ready To Move,Yeshwanthpur,3600.0,5.0,220.0,4
Built-up  Area,Ready To Move,Kundalahalli,2400.0,1.0,650.0,1
Super built-up  Area,19-Mar,Thanisandra,923.0,1.0,60.84,1
Super built-up  Area,18-May,Muthurayya Swamy Layout,3595.0,6.0,360.0,4
Super built-up  Area,Ready To Move,Green Glen Layout,1050.0,2.0,48.0,2
Super built-up  Area,Ready To Move,Whitefield,1495.0,2.0,79.5,2
Built-up  Area,Ready To Move,Narayanapura,1485.0,3.0,85.0,3
Super built-up  Area,19-Dec,Dommasandra,1033.0,2.0,31.5,3
